,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,5,5,False,False,5.2057760039108364e-05,5.546204090118408,0.3041660785675049,3077.0,205.98526444115566,,
1,1,5,5,False,False,1.6274736664080683e-09,5.487605094909668,0.2912747859954834,3566.0,166.10575873919674,,
2,2,5,5,False,False,5.864401041501929e-06,754.5464520454407,0.3240635395050049,1016837.0,203.43652671352686,,
3,3,5,4,False,False,2.3751812718188424e-07,15.565018892288208,0.20479035377502441,8808.0,185.64063717229354,,
4,4,5,5,False,False,1.243815639778542e-07,5.070741176605225,0.3281748294830322,4115.0,167.81825797519767,,
5,0,5,5,True,False,3.986218740386981e-05,2.090100049972534,0.4924008846282959,2081.0,223.7223920230264,,
6,1,5,5,True,False,1.5823978171404635e-05,1.978044033050537,0.48360395431518555,1793.0,168.8254227434955,,
7,2,5,5,True,False,2.575048136020192e-05,0.8543338775634766,0.459460973739624,547.0,223.44029487568565,,
8,3,5,4,True,False,4.984694632294508e-05,0.6545228958129883,0.35205769538879395,1508.0,217.93125897312078,,
9,4,5,5,True,False,0.0,0.6213059425354004,0.43178296089172363,413.0,172.05122884812982,,
10,0,5,11,False,True,3.4161299965842203e-07,66.30927610397339,1.4999942779541016,18206.0,215.9801394789896,,
11,1,5,11,False,True,0.0,263.4708869457245,1.481468677520752,231668.0,179.8319121800132,,
12,2,5,11,False,True,0.0,33.25701403617859,1.466484546661377,5817.0,217.56693711370235,,
13,3,5,9,False,True,0.47712668979829426,3600.0179159641266,0.8846306800842285,2797174.0,205.53965020431946,,
14,4,5,10,False,True,0.0,136.85354614257812,1.191800594329834,95306.0,174.07480584706175,,
15,0,5,11,True,True,0.0,0.9261760711669922,1.3170931339263916,103.0,262.62499484642984,,
16,1,5,11,True,True,0.0,0.6643190383911133,1.2415761947631836,31.0,203.6056557549862,,
17,2,5,11,True,True,9.233845704277507e-06,0.5975949764251709,1.3711481094360352,98.0,247.65094584152192,,
18,3,5,9,True,True,3.3540014262855986e-06,0.537322998046875,0.8539519309997559,70.0,231.04477424024805,,
19,4,5,10,True,True,6.608329929754513e-05,0.3492910861968994,1.0204482078552246,7.0,182.67568399549657,,
20,0,10,10,False,False,0.8506362693825411,3600.0384979248047,2.375606060028076,3992011.0,298.21810793308384,,
21,1,10,10,False,False,6.443458472915693e-06,41.42659878730774,2.276838541030884,16670.0,262.02669212523335,,
22,2,10,7,False,False,0.008744401151815443,3600.6294610500336,1.2693452835083008,1683843.0,321.3339586084011,,
23,3,10,9,False,False,0.012624305364534204,3600.641546010971,1.9485852718353271,761712.0,273.9715235146124,,
