,Instance,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,5,5,False,False,0.0,0.6796061992645264,0.9559311866760254,160.0,227.1400537046785,,
1,1,5,5,False,False,0.0,2.551875114440918,0.9431548118591307,8280.0,176.69107280624436,,
2,2,5,5,False,False,0.0,204.544420003891,0.9549143314361572,1319853.0,217.43221099440174,,
3,3,5,4,False,False,0.0,4.6419198513031015,0.7077827453613281,32622.0,206.12816499586293,,
4,4,5,5,False,False,0.0,0.5526070594787598,0.9735639095306396,1032.0,170.7659811074237,,
5,0,5,5,True,False,0.0,0.42041683197021484,1.587616205215454,15.0,250.76406759940772,,
6,1,5,5,True,False,,,,,,,
7,2,5,5,True,False,2.7188647571904374e-06,0.7479281425476074,1.642909288406372,143.0,224.3939511163711,,
8,3,5,4,True,False,0.0,0.1754460334777832,1.0391342639923096,67.0,221.3847904928019,,
9,4,5,5,True,False,0.0,0.33913707733154297,1.5905942916870117,42.0,170.97934847654378,,
10,0,5,11,False,True,1.7043775053288976e-07,4.954491853713989,1.8421392440795898,1036.0,232.20589585818485,,
11,1,5,11,False,True,0.0,39.981075048446655,1.7539067268371582,157173.0,192.80039072945175,,
12,2,5,11,False,True,0.0,5.777323007583618,1.828587293624878,1702.0,231.19649220306883,,
13,3,5,9,False,True,0.0,0.7727470397949219,1.0406014919281006,222.0,233.25938126030985,,
14,4,5,10,False,True,0.0,58.65067005157471,1.4133391380310059,270811.0,168.00333828600847,,
15,0,5,11,True,True,0.0,0.5759139060974121,1.7784357070922852,14.0,266.2445186802694,,
16,1,5,11,True,True,8.167211612492851e-08,0.3573880195617676,1.7097609043121338,9.0,206.26087010059936,,
17,2,5,11,True,True,1.5439820651267182e-08,0.4654719829559326,1.8118984699249268,7.0,241.77526241108825,,
18,3,5,9,True,True,0.0,0.29813194274902344,1.1973705291748047,47.0,246.65890499507313,,
19,4,5,10,True,True,0.0,0.21440386772155762,1.3481838703155518,1.0,181.4033687722386,,
20,0,10,10,False,False,0.6630672684797625,3600.0386729240417,7.347221374511719,8249467.0,274.1081511986123,,
21,1,10,10,False,False,1.5650657465474597e-06,20.98240303993225,7.304996967315674,2087.0,283.29907076747077,,
22,2,10,7,False,False,0.6931588960225288,3600.016809940338,4.589442253112793,10691037.0,301.3989104477914,,
23,3,10,9,False,False,0.6787497659454927,3600.03236413002,6.403505325317383,10688741.0,278.19712844115355,,
24,4,10,10,False,False,0.06549053335368235,3600.0383040905,7.348792791366577,2439291.0,313.8384812122511,,
