,Instance,Radii,n_N,n_B,Strength,A4,Gap,Runtime,Time_Prepro,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,0.25,6,7,True,False,6.97155775624027e-05,0.96314001083374,0.853861808776856,716.0,17.7286950764578,,
1,0,0.5,6,7,True,False,3.75570375604914e-06,11.0068099498749,0.88652229309082,3166.0,15.786513259558,,
2,0,1.0,6,7,True,False,0.133157773184328,3600.0177218914,1.03502011299133,363816.0,11.0732373077716,,
3,1,0.25,6,9,True,False,7.00700765795349e-06,6.22806406021118,1.22857475280762,2072.0,28.0838964953195,,
4,1,0.5,6,9,True,False,2.33921027532026e-05,17.7445640563965,1.2735583782196,3328.0,26.2508221235456,,
5,1,1.0,6,9,True,False,9.49364768575168e-08,1669.84082388878,1.47776031494141,195345.0,23.0013237254786,,
6,2,0.25,6,8,True,False,1.53834153104615e-06,2.51387000083923,1.03327822685242,1306.0,21.6060306417876,,
7,2,0.5,6,8,True,False,4.07480615842649e-05,59.5603930950165,1.16409492492676,21687.0,19.4527305239383,,
8,2,1.0,6,8,True,False,0.174415121539898,3600.02443194389,1.26663327217102,279066.0,15.2479697574546,,
9,3,0.25,6,9,True,False,2.59929812948746e-07,1.37900996208191,1.22122859954834,404.0,27.2954981160233,,
10,3,0.5,6,9,True,False,1.57307761759501e-08,11.8898239135742,1.22914958000183,2459.0,25.925728165896,,
11,3,1.0,6,9,True,False,2.13905295220258e-05,752.24124789238,1.41117072105408,127493.0,23.3061385649522,,
12,4,0.25,6,10,True,False,2.95072856176253e-05,4.48733997344971,1.54476380348206,2311.0,35.9124261878995,,
13,4,0.5,6,10,True,False,9.31150234969123e-06,8.33744192123413,1.57762408256531,1319.0,33.8877319018687,,
14,4,1.0,6,10,True,False,1.77774328345155e-05,80.3130490779877,1.77627730369568,11863.0,30.3602894453642,,
15,5,0.25,6,10,True,False,2.9392249030974e-05,1.1082661151886,1.5630407333374,813.0,31.5254203170243,,
16,5,0.5,6,10,True,False,7.69358261711347e-09,6.26943182945251,1.58632826805115,1288.0,29.879459481372,,
17,5,1.0,6,10,True,False,0.0,67.4039750099182,1.68253326416016,18724.0,26.7366510061235,,
18,6,0.25,6,9,True,False,1.80920992935269e-07,3.62012314796448,1.17843985557556,1513.0,30.716688064587,,
19,6,0.5,6,9,True,False,0.0,13.7739329338074,1.2494478225708,2656.0,29.0422236166176,,
20,6,1.0,6,9,True,False,9.71609359361774e-05,426.04146194458,1.34769988059998,58650.0,26.3878708924211,,
21,7,0.25,6,11,True,False,0.0,3.50335001945496,1.9077455997467,1192.0,36.0754287660618,,
22,7,0.5,6,11,True,False,0.0,14.9192001819611,1.95826864242554,2507.0,34.0437759991981,,
23,7,1.0,6,11,True,False,0.0,465.270378112793,2.11271643638611,57350.0,30.5396174622158,,
24,8,0.25,6,5,True,False,5.38397655545267e-08,0.583734035491943,0.494178056716919,422.0,32.6683887011082,,
25,8,0.5,6,5,True,False,1.77683802242883e-07,10.6192770004272,0.551975965499878,6239.0,31.1003900052889,,
26,8,1.0,6,5,True,False,7.90568944822745e-05,1021.6186170578,0.672939300537109,176908.0,27.3998393331059,,
27,9,0.25,6,8,True,False,6.88708754062867e-09,1.42180800437927,1.07017493247986,851.0,25.7627073637686,,
28,9,0.5,6,8,True,False,0.0,8.94877791404724,1.08285665512085,1703.0,23.7559099554292,,
29,9,1.0,6,8,True,False,3.36250130986283e-05,3444.00001096725,1.22439217567444,384147.0,19.7721694000774,,
30,0,0.25,8,14,True,False,9.03975593328204e-08,10.576122045517,3.48027420043945,1614.0,30.0151178243403,,
31,0,0.5,8,14,True,False,8.92962874565858e-06,671.615060091019,3.54079222679138,46248.0,28.1971627016966,,
32,0,1.0,8,14,True,False,0.406601248302534,3600.19620203972,4.19649124145508,215138.0,27.1345601458131,,
33,1,0.25,8,13,True,False,8.04507127144593e-07,11.0224449634552,3.11262559890747,1442.0,32.5119499401358,,
34,1,0.5,8,13,True,False,0.0,59.8987939357758,3.2673647403717,5647.0,29.9801298127315,,
35,1,1.0,8,13,True,False,0.25022403750475,3600.14509296417,3.64223265647888,205927.0,26.4077638441488,,
36,2,0.25,8,10,True,False,0.0,5.43593597412109,1.91593837738037,1343.0,27.65951802973,,
37,2,0.5,8,10,True,False,0.0,59.4549310207367,1.98075795173645,8670.0,25.446802423981,,
38,2,1.0,8,10,True,False,0.478276241074248,3600.03346896172,2.37107157707214,283807.0,24.9311553935157,,
39,3,0.25,8,14,True,False,3.89823514387962e-05,4.06067585945129,3.61610126495361,825.0,35.8161981060879,,
40,3,0.5,8,14,True,False,7.98029578776091e-07,68.6253988742828,3.64787530899048,6749.0,33.8103113559212,,
41,3,1.0,8,14,True,False,0.254960513877307,3600.09192705154,4.00791025161743,162317.0,29.9628436354178,,
42,4,0.25,8,15,True,False,6.18411214288703e-07,14.7070391178131,4.11225819587708,1463.0,41.2965794699905,,
43,4,0.5,8,15,True,False,4.87706625064462e-05,59.9155788421631,4.14054322242737,7085.0,39.0447831048129,,
44,4,1.0,8,15,True,False,0.14129927179479,3600.07351016998,4.55282473564148,212136.0,35.2689182530858,,
45,5,0.25,8,13,True,False,3.37067194989466e-06,4.13833785057068,2.98555660247803,782.0,34.0138653298986,,
46,5,0.5,8,13,True,False,9.00132276865444e-05,39.108827829361,3.15689182281494,4207.0,31.9987899401273,,
47,5,1.0,8,13,True,False,0.211072494138452,3600.10983395576,3.53901028633118,154982.0,28.874009719533,,
48,6,0.25,8,11,True,False,4.15429159553385e-06,19.5789661407471,2.24081039428711,1463.0,35.2124837413419,,
49,6,0.5,8,11,True,False,0.0,74.9699618816376,2.33603239059448,15059.0,32.5647021782134,,
50,6,1.0,8,11,True,False,0.328122831047651,3600.05595993996,2.65884232521057,234972.0,29.2772227747546,,
51,7,0.25,8,16,True,False,2.61282520513056e-08,47.2528040409088,4.86030030250549,3824.0,42.2180367542793,,
52,7,0.5,8,16,True,False,3.4633424548477e-05,121.375718832016,4.91581892967224,9887.0,39.3517475542213,,
53,7,1.0,8,16,True,False,0.135546011629162,3600.062073946,5.21451902389526,79771.0,35.6655389175779,,
54,8,0.25,8,10,True,False,4.93611580749018e-07,16.6424989700317,1.84714722633362,2411.0,34.1363152559274,,
55,8,0.5,8,10,True,False,3.94141712320594e-07,532.515758037567,1.99759769439697,72847.0,32.0406006916664,,
56,8,1.0,8,10,True,False,0.448312225057378,3600.050563097,2.5192985534668,231552.0,29.3428996836891,,
57,9,0.25,8,11,True,False,9.55476159661114e-08,7.76518487930298,2.55582499504089,919.0,30.3511071354824,,
58,9,0.5,8,11,True,False,1.06315871566226e-06,26.9231770038605,2.63604211807251,3350.0,27.8066008838403,,
59,9,1.0,8,11,True,False,0.033609950391618,3600.05639410019,2.91268992424011,158271.0,23.3238638566685,,
61,0,0.25,10,14,True,False,5.630485898224178e-05,35.626811027526855,4.654378652572632,2745.0,35.96235371330304,,
62,0,0.5,10,14,True,False,3.8885248462730715e-07,1109.9166870117188,4.719010353088379,66530.0,33.216890136986095,,
63,0,1.0,10,14,True,False,,,,,,,
64,1,0.25,10,23,True,False,0.0,87.15032505989075,11.104286909103394,5511.0,37.4402168480336,,
65,1,0.5,10,23,True,False,0.03208280967288095,3600.1289579868317,11.054013013839722,87172.0,34.15438828297684,,
66,1,1.0,10,23,True,False,,,,,,,
67,2,0.25,10,19,True,False,0.0,21.83809518814087,7.2147908210754395,1284.0,31.346662383599316,,
68,2,0.5,10,19,True,False,7.217529232293656e-05,376.29246497154236,7.531617879867554,24332.0,28.921137941629283,,
69,2,1.0,10,19,True,False,,,,,,,
70,3,0.25,10,16,True,False,1.866576955152795e-06,51.07826590538025,5.823549747467041,3755.0,38.245431108321114,,
71,3,0.5,10,16,True,False,8.9945342661407e-06,1104.688404083252,6.055291652679443,78259.0,35.75145012799018,,
72,3,1.0,10,16,True,False,,,,,,,
73,4,0.25,10,22,True,False,1.8025842901387942e-07,24.23508095741272,10.608574867248535,1542.0,45.56087853531346,,
74,4,0.5,10,22,True,False,3.1639338028540793e-07,195.35748314857483,10.902385234832764,15698.0,42.959165778005385,,
75,4,1.0,10,22,True,False,0.1711429485254892,3600.1322479248047,12.150224685668945,80033.0,38.55659771404176,,
76,5,0.25,10,21,True,False,3.9950780164916523e-07,66.7324709892273,9.39430284500122,4651.0,35.89757976422004,,
77,5,0.5,10,21,True,False,7.624450218702094e-05,2233.432703971863,9.748169660568237,67544.0,33.85486267132559,,
78,5,1.0,10,21,True,False,0.3744157312843157,3600.1352338790894,10.628146648406982,194032.0,31.73741219321659,,
79,6,0.25,10,14,True,False,2.56905424457564e-05,24.67112398147583,4.366847515106201,3105.0,37.23946370767436,,
80,6,0.5,10,14,True,False,1.966047357448282e-05,1006.8344841003418,4.574301481246948,59537.0,33.95344549344139,,
81,6,1.0,10,14,True,False,0.46250609830582656,3600.0893619060516,5.257864475250244,220319.0,31.2585600461073,,
82,7,0.25,10,20,True,False,6.199881781109361e-05,20.454180002212524,9.185982942581177,1377.0,40.44375091726833,,
83,7,0.5,10,20,True,False,4.552358167364608e-07,60.40760087966919,9.43251085281372,2753.0,37.21268130035048,,
84,7,1.0,10,20,True,False,0.1910146609700018,3600.1936440467834,9.801507472991943,102851.0,32.767723780969554,,
85,8,0.25,10,18,True,False,3.780956659975706e-07,80.4697380065918,7.133224248886108,4884.0,37.99018686499002,,
86,8,0.5,10,18,True,False,5.18014946853821e-05,1248.49929189682,7.182458877563477,68387.0,35.98219016400322,,
87,8,1.0,10,18,True,False,,,,,,,
88,9,0.25,10,13,True,False,8.953602300468197e-05,1580.0644798278809,3.976024627685547,173088.0,27.85247165076442,,
89,9,0.5,10,13,True,False,0.27010984924683357,3600.2952179908752,4.297905445098877,218906.0,25.40952440756649,,
90,9,1.0,10,13,True,False,0.5747938715284292,3600.260568857193,4.667903661727905,186552.0,25.530491607296295,,
91,0,0.25,12,19,True,False,8.973466022327406e-05,112.49781394004822,9.308141708374023,4669.0,38.29336651270524,,
92,0,0.5,12,19,True,False,0.13676426858645707,3600.135778903961,9.24612808227539,111563.0,34.85988099583427,,
93,0,1.0,12,19,True,False,0.557312415854494,3600.140037059784,10.399336814880371,248601.0,31.699581400069718,,
94,1,0.25,12,17,True,False,0.0,41.99387216567993,7.575854539871216,2439.0,37.54594897840123,,
95,1,0.5,12,17,True,False,5.173704265921137e-06,2140.416552066803,8.008440971374512,74582.0,34.44267071366456,,
96,1,1.0,12,17,True,False,,,,,,,
97,2,0.25,12,19,True,False,4.3230242887437764e-08,216.21047616004944,9.548545598983765,15802.0,36.42399867192163,,
98,2,0.5,12,19,True,False,0.12410641666285747,3600.1048798561096,10.019437551498413,114425.0,33.0559549784053,,
99,2,1.0,12,19,True,False,,,,,,,
100,3,0.25,12,21,True,False,2.80366442983587e-06,120.59909296035767,10.720012187957764,6123.0,41.69523841896732,,
101,3,0.5,12,21,True,False,0.15754918001244977,3600.173315048218,11.277214050292969,105192.0,38.82338441559392,,
102,3,1.0,12,21,True,False,,,,,,,
103,4,0.25,12,23,True,False,9.361325681062448e-06,166.41547513008118,14.217130661010742,9974.0,49.76009796277125,,
104,4,0.5,12,23,True,False,0.06015327924429343,3600.1853930950165,14.646942377090454,86286.0,46.67984903602873,,
105,4,1.0,12,23,True,False,0.41154303076028054,3600.29252910614,17.771846294403076,222993.0,44.418667736096495,,
106,5,0.25,12,17,True,False,2.0909882079326715e-07,275.0092861652374,7.474115610122681,19854.0,37.855044775896246,,
